Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,MaxAbsEStateIndex,PEOE_VSA4,BCUT2D_LOGPLOW,BCUT2D_CHGLO,MinPartialCharge,PEOE_VSA8,AvgIpc,fr_pyridine,Ipc,EState_VSA8,VSA_EState4,BCUT2D_CHGHI,BalabanJ,BCUT2D_MWLOW,MinAbsEStateIndex,PEOE_VSA6,SMR_VSA7,VSA_EState7,BCUT2D_LOGPHI,SlogP_VSA8,PEOE_VSA9,FpDensityMorgan1,SMR_VSA6,SlogP_VSA10,BCUT2D_MRLOW,VSA_EState5,VSA_EState8,PEOE_VSA2,BCUT2D_MWHI
CHEMBL4443947,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](NC(=O)CCOCCOCCOCC#Cc2cnc(OC[C@@H]3CCC(=O)N3)c3cc(OC)c(C(N)=O)cc23)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,10.66,9.767533333333315,0.8924666666666852,0.5114366033001392,14.635816852425968,0.0,-2.5800666757301256,-2.353739687757833,-0.4958975358321756,42.39753248145522,4.021942213401974,1.0,8507801940633278.0,49.47515724715177,8.641627362644616,2.449470117784945,0.858127174029979,9.827159514780728,0.02197788996920913,55.36880178033576,64.84885194917072,10.24590526665867,2.344497555210417,10.772448428929591,69.39663283467999,0.9166666666666666,66.95039968145771,0.0,-0.14306395354732482,4.752024459807588,3.4191243012575425,28.76722310443093,16.54187228599644
CHEMBL4556091,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CCC4)CC3)cc2C1=O,10.59,10.014000000000012,0.5759999999999881,0.012098101368263925,14.67324773201355,5.098681808301038,-2.50092588424232,-2.434407549777384,-0.3873664620257953,43.63324868180884,3.4343636387544505,0.0,643633443.8786075,25.19926839495553,1.8581601532950893,2.361952926431973,1.2957653449353355,9.978851402868608,0.20502502375591125,0.0,53.479986395315045,6.530310795685284,2.3696749481911454,5.647177220767728,29.71742333787646,1.2307692307692308,42.940480364419685,15.765187597041944,-0.015929121821358097,-0.6058173665726874,6.735552208673063,9.589074368143644,19.144429854996215
CHEMBL4566431,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4COC4)CC3)cc2C1=O,10.11,9.927100000000008,0.18289999999999118,0.017874069368050274,14.663673986670574,5.098681808301038,-2.5631245560650173,-2.4316031036384254,-0.3873664620257953,50.68092066448602,3.4343636387544505,0.0,643633443.8786075,25.19926839495553,1.709235891098683,2.3624176926261446,1.2957653449353355,10.03170013143039,0.19597768293114615,0.0,53.479986395315045,3.2086294322155005,2.3593595983421793,5.647177220767728,48.97302809605025,1.2564102564102564,56.154244293445515,15.765187597041944,-0.06601646740250161,-0.6432476457958956,7.37753517742697,14.48898409899412,19.14443039436682
CHEMBL4545898,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)cc2C1=O,10.09,9.698325000000008,0.3916749999999922,0.012986187727816552,14.61037486820662,5.098681808301038,-2.4762529177201644,-2.3654539741419534,-0.3873664620257953,50.68092066448602,3.44082266060248,0.0,541605347.2072273,15.399448933254575,1.0044239523421479,2.3571915164147357,1.4461758098789292,10.031718747538312,0.1192995378439099,0.0,53.479986395315045,0.5552424586879043,2.3573383164643573,5.647177220767728,36.262179743789034,1.1538461538461537,49.48523677033226,24.546017692391587,-0.015930659822119147,-0.8264262330148866,3.8201763533065902,14.48898409899412,19.279766532644533
CHEMBL4448950,COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCCCCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,10.0,9.41285999999999,0.5871400000000104,0.09813207391912818,14.011530939767953,0.0,-2.57295191317284,-2.3500345901393085,-0.49589753583217583,55.74209130407185,4.047833319540876,1.0,403946314747395.8,37.759191491624705,10.67700058602773,2.4409959333515494,0.8940840207555567,9.850683013439264,0.0006437533131069539,95.40247824818566,70.48986772593956,10.842471542122974,2.3353673937783865,21.213047114327885,46.464122203734924,1.0149253731343284,20.26143591170303,0.0,-0.14363096358204294,5.610288923152596,8.202874958950046,23.97268592035911,32.13348410961618
CHEMBL4066705,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F,10.0,9.756292857142848,0.24370714285715245,0.01396299517119912,13.886049221089877,0.0,-2.3446071048156067,-2.1857761603754224,-0.4958975481907506,17.500973832239264,2.9142071180490903,1.0,802429.844161935,10.30076712495354,5.6317294648539455,2.4134657830458113,1.8858392570920066,9.967273905143932,0.09391502897455295,6.923737199690624,29.9593962686949,0.5386015986845709,2.311866076150293,10.772448428929591,18.71508986212249,1.4230769230769231,13.716679505790452,4.39041504767482,-0.12349167369383923,-1.0235597124269558,1.9241876514456715,9.589074368143644,19.144371466456537
CHEMBL5190644,COc1cc2nn([C@H]3CC[C@@]4(CCC(=O)N4C)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,10.0,9.735933333333325,0.26406666666667533,0.017171793714533756,13.16907215080833,14.712761510217698,-2.455374906019953,-2.4167336613875303,-0.49583975207746966,42.8536972841391,3.5630750586728426,0.0,182300915.7605331,15.399448933254577,1.8590622692567933,2.4502437546933433,1.2489437770771339,9.776308201260468,0.015212031723589092,0.0,48.419450480382665,10.745082859841332,2.4421225458019697,16.550102152848783,30.428634151351826,1.2285714285714286,19.474258127961054,5.817862777835028,-0.1300505154670688,0.883378142382719,0.0,14.270877303288827,16.466237788278203
CHEMBL4445098,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(C4CC(F)(F)C4)CC3)cc2C1=O,10.0,9.767050000000003,0.2329499999999971,0.026067621411247716,14.673673986670574,5.098681808301038,-2.567950708918021,-2.4630920836563095,-0.3873664620257953,69.564404739486,3.4712208416885146,0.0,1361969806.2064927,20.299358664105053,1.1842012279458272,2.478713563295614,1.2745525994633886,9.862258074992052,0.13354507199509413,0.0,53.479986395315045,2.772098740474325,2.4135759505871532,5.647177220767728,29.71742333787646,1.2195121951219512,42.940480364419685,24.546017692391587,-0.12442591229994053,-3.3769246909773045,4.753124109641258,14.48898409899412,19.2854416779886
CHEMBL4568894,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCC(N4CC(F)(F)C4)CC3)cc2C1=O,9.96,9.792216666666683,0.1677833333333183,0.025581333141795892,14.674358843124661,5.098681808301038,-2.6122129802867344,-2.467741267472994,-0.3873664620257953,43.63324868180884,3.4712208416885146,0.0,1361969806.2064927,15.399448933254575,1.2060431091933033,2.4674144828419626,1.2745525994633886,9.966869055861812,0.045043705238718035,0.0,53.479986395315045,4.363438151347118,2.3805464130401206,5.647177220767728,42.806936149701606,1.2439024390243902,42.940480364419685,24.546017692391587,-0.14774564973428994,-3.4049596704011735,3.23381389959276,14.48898409899412,19.285628828148226
CHEMBL4472406,CC(C)(O)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,9.8,9.07747222222223,0.7225277777777706,0.012620340967966546,13.213102671739037,5.098681808301038,-2.3662960996412505,-2.3060383518335654,-0.39040148268965663,44.136164258573444,3.38165498103668,0.0,66957336.74256308,20.299358664105053,2.906214301232617,2.31236707797192,1.4663404873118717,10.056528553345515,0.056977239714883554,0.0,53.479986395315045,5.340740005386054,2.3527218744529033,5.647177220767728,36.38643086098973,1.2647058823529411,43.06473148162037,11.374772549367124,0.051666549045205803,-0.3705243480031537,6.8511714221404185,9.589074368143644,16.47756653670868
